period,debt,debt_change,stocks,stocks_change,color,color_change,restaurant,restaurant_change,portfolio,portfolio_change,inflation,inflation_change,housing,housing_change,dow jones,dow jones_change,revenue,revenue_change,economics,economics_change
2021-05-01,59,-0.05084745762711865,56,0.017857142857142856,82,0.0,71,0.18309859154929578,76,0.0,49,0.2857142857142857,83,0.0,23,0.0,64,-0.140625,59,-0.1864406779661017
2021-06-01,57,-0.03508771929824561,52,-0.07692307692307693,95,0.1368421052631579,83,0.14457831325301204,72,-0.05555555555555555,42,-0.16666666666666666,88,0.056818181818181816,22,-0.045454545454545456,62,-0.03225806451612903,57,-0.03508771929824561
2021-07-01,52,-0.09615384615384616,42,-0.23809523809523808,94,-0.010638297872340425,91,0.08791208791208792,72,0.0,37,-0.13513513513513514,87,-0.011494252873563218,23,0.043478260869565216,59,-0.05084745762711865,56,-0.017857142857142856
2021-08-01,54,0.037037037037037035,39,-0.07692307692307693,87,-0.08045977011494253,95,0.042105263157894736,66,-0.09090909090909091,34,-0.08823529411764706,88,0.011363636363636364,22,-0.045454545454545456,57,-0.03508771929824561,66,0.15151515151515152
2021-09-01,68,0.20588235294117646,39,0.0,87,0.0,86,-0.10465116279069768,74,0.10810810810810811,39,0.1282051282051282,89,0.011235955056179775,23,0.043478260869565216,62,0.08064516129032258,83,0.20481927710843373
2021-10-01,67,-0.014925373134328358,45,0.13333333333333333,90,0.03333333333333333,88,0.022727272727272728,77,0.03896103896103896,53,0.2641509433962264,80,-0.1125,20,-0.15,68,0.08823529411764706,75,-0.10666666666666667
2021-11-01,60,-0.11666666666666667,46,0.021739130434782608,93,0.03225806451612903,80,-0.1,79,0.02531645569620253,63,0.15873015873015872,77,-0.03896103896103896,21,0.047619047619047616,66,-0.030303030303030304,72,-0.041666666666666664
2021-12-01,58,-0.034482758620689655,45,-0.022222222222222223,91,-0.02197802197802198,81,0.012345679012345678,74,-0.06756756756756757,65,0.03076923076923077,77,0.0,28,0.25,61,-0.08196721311475409,64,-0.125
2022-01-01,61,0.04918032786885246,52,0.1346153846153846,94,0.031914893617021274,75,-0.08,89,0.16853932584269662,77,0.15584415584415584,90,0.14444444444444443,23,-0.21739130434782608,80,0.2375,77,0.16883116883116883
2022-02-01,71,0.14084507042253522,49,-0.061224489795918366,97,0.030927835051546393,84,0.10714285714285714,98,0.09183673469387756,73,-0.0547945205479452,91,0.01098901098901099,30,0.23333333333333334,91,0.12087912087912088,98,0.21428571428571427
2022-03-01,71,0.0,51,0.0392156862745098,100,0.03,79,-0.06329113924050633,100,0.02,85,0.1411764705882353,97,0.061855670103092786,29,-0.034482758620689655,86,-0.05813953488372093,100,0.02
2022-04-01,76,0.06578947368421052,42,-0.21428571428571427,94,-0.06382978723404255,86,0.08139534883720931,90,-0.1111111111111111,85,0.0,99,0.020202020202020204,22,-0.3181818181818182,89,0.033707865168539325,92,-0.08695652173913043
